Coding,Impression,Major,College,Hired,SPORTSPLAYED,TIKTOK,Age
OK,Nerdy,DataScience,Peters,No,Basketball,Sillyjunk,44.65222676
OK,Nerdy,IT,Redbrick,No,Soccer,Nerdystuff,31.58483271
OK,Outgoing,IT,PJIT,No,Basketball,NoAccount,37.24735741
Weak,Shy,CS,BestCollege,No,Tennis,Sillyjunk,49.96959143
Weak,Nerdy,Stats,Peters,Yes,NONE,Sillyjunk,58.75552421
OK,Nerdy,Stats,Redbrick,No,Soccer,Nerdystuff,59.74726939
Weak,Confident,IT,BYU,No,Soccer,Sillyjunk,46.68997748
Weak,Outgoing,DataScience,PJIT,No,Basketball,NoAccount,24.77975205
Weak,Outgoing,Stats,BestCollege,No,Basketball,Sillyjunk,31.87983827
OK,Outgoing,IT,Redbrick,No,Tennis,Nerdystuff,31.01159405
OK,Nerdy,Stats,BYU,No,Basketball,Nerdystuff,47.5775263
OK,Outgoing,Stats,BestCollege,No,Basketball,Sillyjunk,49.55643126
Weak,Nerdy,DataScience,Redbrick,Yes,Basketball,Nerdystuff,36.38168062
Excellent,Outgoing,CS,BYU,No,NONE,Sillyjunk,46.70594893
Excellent,Confident,DataScience,PJIT,Yes,Basketball,Sillyjunk,57.17743728
Excellent,Outgoing,DataScience,PJIT,No,Basketball,Sillyjunk,51.90269385
Weak,Confident,CS,Redbrick,No,NONE,Nerdystuff,31.57500359
OK,Nerdy,CS,BYU,No,NONE,Nerdystuff,31.0440483
OK,Outgoing,IT,Redbrick,Yes,Basketball,Nerdystuff,54.71294079
Excellent,Confident,IT,BYU,Yes,NONE,Nerdystuff,27.61634204
Weak,Outgoing,Stats,BYU,Yes,Tennis,Nerdystuff,53.3275181
Weak,Outgoing,IT,BYU,No,Basketball,Sillyjunk,37.40644316
OK,Shy,CS,BYU,No,NONE,Sillyjunk,59.00615986
Excellent,Nerdy,IT,BestCollege,Yes,NONE,Sillyjunk,43.63437663
Weak,Confident,Stats,BestCollege,Yes,NONE,Sillyjunk,34.05856473
OK,Confident,CS,BestCollege,No,Soccer,Sillyjunk,33.34183699
OK,Outgoing,IT,Redbrick,No,NONE,Nerdystuff,36.59263933
Weak,Nerdy,IT,Redbrick,No,Soccer,Nerdystuff,27.0281681
Excellent,Confident,DataScience,BestCollege,No,Soccer,Sillyjunk,61.83756096
OK,Shy,Stats,PJIT,No,Basketball,NoAccount,50.65894643
Weak,Shy,DataScience,BestCollege,No,Basketball,Sillyjunk,57.2129599
Excellent,Outgoing,Stats,BestCollege,No,Soccer,Sillyjunk,61.57684439
OK,Nerdy,IT,BestCollege,No,NONE,Sillyjunk,40.25699139
OK,Outgoing,IT,BYU,Yes,Tennis,Nerdystuff,51.41462425
Excellent,Outgoing,DataScience,PJIT,Yes,Basketball,Sillyjunk,55.43523847
Weak,Nerdy,Stats,PJIT,No,Basketball,NoAccount,26.56588781
Excellent,Confident,IT,Redbrick,No,Tennis,Sillyjunk,42.37220683
OK,Nerdy,Stats,BYU,No,NONE,NoAccount,33.28741687
OK,Shy,DataScience,Redbrick,No,Basketball,Nerdystuff,46.68253315
Weak,Confident,IT,PJIT,No,Basketball,Sillyjunk,53.44032
Excellent,Confident,IT,PJIT,Yes,Basketball,Sillyjunk,54.05331208
Excellent,Nerdy,DataScience,BYU,No,Tennis,Sillyjunk,50.0182271
OK,Outgoing,CS,Peters,No,Basketball,NoAccount,37.15790112
Weak,Confident,IT,BYU,No,Tennis,Sillyjunk,56.69417724
Excellent,Outgoing,IT,Redbrick,No,Tennis,Nerdystuff,59.41751997
Weak,Confident,Stats,BYU,No,NONE,Sillyjunk,44.9769918
OK,Confident,CS,Redbrick,No,Soccer,Nerdystuff,31.07508265
Weak,Outgoing,IT,BYU,No,Tennis,NoAccount,48.21911068
Weak,Outgoing,Stats,Redbrick,No,Tennis,Nerdystuff,25.65107705
OK,Nerdy,IT,BYU,No,Tennis,Sillyjunk,32.19625283
